 no. of detectors, no. of ut parameters                                         
   700     5 
 det, delta, len2,code, 2theta, ut1, ut2, ut3, ut4, ut5                         
   415    0.000    4.275  300  11.844   2.000   0.000   0.000 243.500   2.000
   416    0.000    4.294  300  11.726   2.000   0.000   0.000 243.500   2.000
   417    0.000    4.313  300  11.610   2.000   0.000   0.000 243.500   2.000
   418    0.000    4.332  300  11.494   2.000   0.000   0.000 243.500   2.000
   419    0.000    4.351  300  11.379   2.000   0.000   0.000 243.500   2.000
   420    0.000    4.370  300  11.266   2.000   0.000   0.000 243.500   2.000
   421    0.000    4.013  300  13.700   2.000   0.000   0.000 261.500   2.000
   422    0.000    4.031  300  13.556   2.000   0.000   0.000 261.500   2.000
   423    0.000    4.050  300  13.414   2.000   0.000   0.000 261.500   2.000
   424    0.000    4.068  300  13.273   2.000   0.000   0.000 261.500   2.000
   425    0.000    4.087  300  13.134   2.000   0.000   0.000 261.500   2.000
   426    0.000    4.105  300  12.996   2.000   0.000   0.000 261.500   2.000
   427    0.000    4.124  300  12.859   2.000   0.000   0.000 261.500   2.000
   428    0.000    4.142  300  12.723   2.000   0.000   0.000 261.500   2.000
   429    0.000    4.161  300  12.589   2.000   0.000   0.000 261.500   2.000
   430    0.000    4.180  300  12.455   2.000   0.000   0.000 261.500   2.000
   431    0.000    4.198  300  12.323   2.000   0.000   0.000 261.500   2.000
   432    0.000    4.217  300  12.192   2.000   0.000   0.000 261.500   2.000
   433    0.000    4.236  300  12.062   2.000   0.000   0.000 261.500   2.000
   434    0.000    4.254  300  11.934   2.000   0.000   0.000 261.500   2.000
   435    0.000    4.273  300  11.806   2.000   0.000   0.000 261.500   2.000
   436    0.000    4.292  300  11.680   2.000   0.000   0.000 261.500   2.000
   437    0.000    4.311  300  11.554   2.000   0.000   0.000 261.500   2.000
   438    0.000    4.329  300  11.430   2.000   0.000   0.000 261.500   2.000
   439    0.000    4.348  300  11.307   2.000   0.000   0.000 261.500   2.000
   440    0.000    4.367  300  11.185   2.000   0.000   0.000 261.500   2.000
   441    0.000    4.010  300  13.697   2.000   0.000   0.000 -81.500   2.000
   442    0.000    4.029  300  13.563   2.000   0.000   0.000 -81.500   2.000
   443    0.000    4.047  300  13.430   2.000   0.000   0.000 -81.500   2.000
   444    0.000    4.066  300  13.298   2.000   0.000   0.000 -81.500   2.000
   445    0.000    4.085  300  13.168   2.000   0.000   0.000 -81.500   2.000
   446    0.000    4.104  300  13.038   2.000   0.000   0.000 -81.500   2.000
   447    0.000    4.123  300  12.910   2.000   0.000   0.000 -81.500   2.000
   448    0.000    4.142  300  12.783   2.000   0.000   0.000 -81.500   2.000
   449    0.000    4.161  300  12.658   2.000   0.000   0.000 -81.500   2.000
   450    0.000    4.180  300  12.533   2.000   0.000   0.000 -81.500   2.000
   451    0.000    4.198  300  12.409   2.000   0.000   0.000 -81.500   2.000
   452    0.000    4.217  300  12.287   2.000   0.000   0.000 -81.500   2.000
   453    0.000    4.236  300  12.166   2.000   0.000   0.000 -81.500   2.000
   454    0.000    4.255  300  12.045   2.000   0.000   0.000 -81.500   2.000
   455    0.000    4.275  300  11.926   2.000   0.000   0.000 -81.500   2.000
   456    0.000    4.294  300  11.808   2.000   0.000   0.000 -81.500   2.000
   457    0.000    4.313  300  11.691   2.000   0.000   0.000 -81.500   2.000
   458    0.000    4.332  300  11.575   2.000   0.000   0.000 -81.500   2.000
   459    0.000    4.351  300  11.460   2.000   0.000   0.000 -81.500   2.000
   460    0.000    4.370  300  11.346   2.000   0.000   0.000 -81.500   2.000
   461    0.000    4.012  300  13.838   2.000   0.000   0.000 -63.500   2.000
   462    0.000    4.030  300  13.699   2.000   0.000   0.000 -63.500   2.000
   463    0.000    4.049  300  13.561   2.000   0.000   0.000 -63.500   2.000
   464    0.000    4.067  300  13.424   2.000   0.000   0.000 -63.500   2.000
   465    0.000    4.086  300  13.288   2.000   0.000   0.000 -63.500   2.000
   466    0.000    4.105  300  13.154   2.000   0.000   0.000 -63.500   2.000
   467    0.000    4.123  300  13.021   2.000   0.000   0.000 -63.500   2.000
   468    0.000    4.142  300  12.889   2.000   0.000   0.000 -63.500   2.000
   469    0.000    4.161  300  12.758   2.000   0.000   0.000 -63.500   2.000
   470    0.000    4.180  300  12.628   2.000   0.000   0.000 -63.500   2.000
   471    0.000    4.198  300  12.500   2.000   0.000   0.000 -63.500   2.000
   472    0.000    4.217  300  12.373   2.000   0.000   0.000 -63.500   2.000
   473    0.000    4.236  300  12.247   2.000   0.000   0.000 -63.500   2.000  8.5
   474    0.000    4.255  300  12.121   2.000   0.000   0.000 -63.500   2.000
   475    0.000    4.274  300  11.998   2.000   0.000   0.000 -63.500   2.000
   476    0.000    4.293  300  11.875   2.000   0.000   0.000 -63.500   2.000
   477    0.000    4.312  300  11.753   2.000   0.000   0.000 -63.500   2.000
   478    0.000    4.330  300  11.632   2.000   0.000   0.000 -63.500   2.000
   479    0.000    4.349  300  11.512   2.000   0.000   0.000 -63.500   2.000
   480    0.000    4.368  300  11.394   2.000   0.000   0.000 -63.500   2.000
   501    0.000    3.128  300  16.848   2.000   0.000   0.000 243.500   2.000
   502    0.000    3.147  300  16.669   2.000   0.000   0.000 243.500   2.000
   503    0.000    3.165  300  16.493   2.000   0.000   0.000 243.500   2.000
   504    0.000    3.184  300  16.318   2.000   0.000   0.000 243.500   2.000
   505    0.000    3.203  300  16.146   2.000   0.000   0.000 243.500   2.000
   506    0.000    3.222  300  15.976   2.000   0.000   0.000 243.500   2.000
   507    0.000    3.240  300  15.807   2.000   0.000   0.000 243.500   2.000
   508    0.000    3.259  300  15.641   2.000   0.000   0.000 243.500   2.000
   509    0.000    3.278  300  15.476   2.000   0.000   0.000 243.500   2.000
   510    0.000    3.297  300  15.313   2.000   0.000   0.000 243.500   2.000
   511    0.000    3.315  300  15.152   2.000   0.000   0.000 243.500   2.000
   512    0.000    3.334  300  14.993   2.000   0.000   0.000 243.500   2.000
   513    0.000    3.353  300  14.836   2.000   0.000   0.000 243.500   2.000
   514    0.000    3.372  300  14.681   2.000   0.000   0.000 243.500   2.000
   515    0.000    3.391  300  14.527   2.000   0.000   0.000 243.500   2.000
   516    0.000    3.410  300  14.375   2.000   0.000   0.000 243.500   2.000
   517    0.000    3.429  300  14.224   2.000   0.000   0.000 243.500   2.000
   518    0.000    3.448  300  14.076   2.000   0.000   0.000 243.500   2.000
   519    0.000    3.467  300  13.929   2.000   0.000   0.000 243.500   2.000
   520    0.000    3.486  300  13.783   2.000   0.000   0.000 243.500   2.000
   521    0.000    3.130  300  16.901   2.000   0.000   0.000 261.500   2.000
   522    0.000    3.148  300  16.716   2.000   0.000   0.000 261.500   2.000
   523    0.000    3.167  300  16.534   2.000   0.000   0.000 261.500   2.000
   524    0.000    3.185  300  16.353   2.000   0.000   0.000 261.500   2.000
   525    0.000    3.204  300  16.175   2.000   0.000   0.000 261.500   2.000
   526    0.000    3.222  300  15.998   2.000   0.000   0.000 261.500   2.000
   527    0.000    3.241  300  15.824   2.000   0.000   0.000 261.500   2.000
   528    0.000    3.259  300  15.652   2.000   0.000   0.000 261.500   2.000
   529    0.000    3.278  300  15.482   2.000   0.000   0.000 261.500   2.000
   530    0.000    3.297  300  15.313   2.000   0.000   0.000 261.500   2.000
   531    0.000    3.315  300  15.147   2.000   0.000   0.000 261.500   2.000
   532    0.000    3.334  300  14.982   2.000   0.000   0.000 261.500   2.000
   533    0.000    3.353  300  14.819   2.000   0.000   0.000 261.500   2.000
   534    0.000    3.372  300  14.658   2.000   0.000   0.000 261.500   2.000
   535    0.000    3.390  300  14.499   2.000   0.000   0.000 261.500   2.000
   536    0.000    3.409  300  14.341   2.000   0.000   0.000 261.500   2.000
   537    0.000    3.428  300  14.186   2.000   0.000   0.000 261.500   2.000
   538    0.000    3.447  300  14.032   2.000   0.000   0.000 261.500   2.000
   539    0.000    3.466  300  13.879   2.000   0.000   0.000 261.500   2.000
   540    0.000    3.485  300  13.729   2.000   0.000   0.000 261.500   2.000
   541    0.000    3.129  300  17.285   2.000   0.000   0.000 -81.500   2.000
   542    0.000    3.147  300  17.104   2.000   0.000   0.000 -81.500   2.000
   543    0.000    3.166  300  16.925   2.000   0.000   0.000 -81.500   2.000
   544    0.000    3.185  300  16.748   2.000   0.000   0.000 -81.500   2.000
   545    0.000    3.203  300  16.573   2.000   0.000   0.000 -81.500   2.000
   546    0.000    3.222  300  16.400   2.000   0.000   0.000 -81.500   2.000
   547    0.000    3.240  300  16.229   2.000   0.000   0.000 -81.500   2.000
   548    0.000    3.259  300  16.060   2.000   0.000   0.000 -81.500   2.000
   549    0.000    3.278  300  15.893   2.000   0.000   0.000 -81.500   2.000
   550    0.000    3.297  300  15.728   2.000   0.000   0.000 -81.500   2.000
   551    0.000    3.315  300  15.565   2.000   0.000   0.000 -81.500   2.000
   552    0.000    3.334  300  15.404   2.000   0.000   0.000 -81.500   2.000
   553    0.000    3.353  300  15.244   2.000   0.000   0.000 -81.500   2.000
   554    0.000    3.372  300  15.086   2.000   0.000   0.000 -81.500   2.000
   555    0.000    3.391  300  14.930   2.000   0.000   0.000 -81.500   2.000
   556    0.000    3.410  300  14.776   2.000   0.000   0.000 -81.500   2.000
   557    0.000    3.429  300  14.623   2.000   0.000   0.000 -81.500   2.000
   558    0.000    3.447  300  14.472   2.000   0.000   0.000 -81.500   2.000
   559    0.000    3.466  300  14.323   2.000   0.000   0.000 -81.500   2.000
   560    0.000    3.485  300  14.176   2.000   0.000   0.000 -81.500   2.000
   561    0.000    3.127  300  17.100   2.000   0.000   0.000 -63.500   2.000
   562    0.000    3.146  300  16.926   2.000   0.000   0.000 -63.500   2.000
   563    0.000    3.165  300  16.754   2.000   0.000   0.000 -63.500   2.000
   564    0.000    3.183  300  16.584   2.000   0.000   0.000 -63.500   2.000
   565    0.000    3.202  300  16.416   2.000   0.000   0.000 -63.500   2.000
   566    0.000    3.221  300  16.250   2.000   0.000   0.000 -63.500   2.000
   567    0.000    3.240  300  16.085   2.000   0.000   0.000 -63.500   2.000
