Number_of_entries  Number_of_user_table_parameters
             3008                                5
Detector     Delta    Len2(m)  Code    2theta  UT1  UT2  UT3  UT4  UT5
201031  0.0  1.983000  1000  23.098195  0  0  0  0  120.000000
201032  0.0  1.983000  1000  23.247482  0  0  0  0  120.000000
201033  0.0  1.983000  1000  23.380380  0  0  0  0  120.000000
201034  0.0  1.820000  1000  23.541601  0  0  0  0  120.000000
201035  0.0  1.820000  1000  23.691806  0  0  0  0  120.000000
201036  0.0  1.820000  1000  23.847500  0  0  0  0  120.000000
201037  0.0  1.820000  1000  24.002136  0  0  0  0  120.000000
201038  0.0  1.820000  1000  24.159804  0  0  0  0  120.000000
201039  0.0  1.820000  1000  24.317585  0  0  0  0  120.000000
201040  0.0  1.820000  1000  24.467981  0  0  0  0  120.000000
201041  0.0  1.820000  1000  24.637757  0  0  0  0  120.000000
201042  0.0  1.820000  1000  24.781115  0  0  0  0  120.000000
201043  0.0  1.820000  1000  24.942267  0  0  0  0  120.000000
201044  0.0  1.820000  1000  25.097707  0  0  0  0  120.000000
201045  0.0  1.673000  1000  25.297463  0  0  0  0  120.000000
201046  0.0  1.673000  1000  25.462210  0  0  0  0  120.000000
201047  0.0  1.673000  1000  25.633178  0  0  0  0  120.000000
201048  0.0  1.673000  1000  25.804541  0  0  0  0  120.000000
201049  0.0  1.673000  1000  25.973485  0  0  0  0  120.000000
201050  0.0  1.673000  1000  26.144603  0  0  0  0  120.000000
201051  0.0  1.673000  1000  26.322966  0  0  0  0  120.000000
201052  0.0  1.673000  1000  26.494209  0  0  0  0  120.000000
201053  0.0  1.673000  1000  26.662227  0  0  0  0  120.000000
201054  0.0  1.673000  1000  26.833356  0  0  0  0  120.000000
201055  0.0  1.673000  1000  26.988228  0  0  0  0  120.000000
201056  0.0  1.539000  1000  27.133322  0  0  0  0  120.000000
201057  0.0  1.539000  1000  27.318980  0  0  0  0  120.000000
201058  0.0  1.539000  1000  27.504184  0  0  0  0  120.000000
201059  0.0  1.539000  1000  27.689986  0  0  0  0  120.000000
201060  0.0  1.539000  1000  27.882775  0  0  0  0  120.000000
201061  0.0  1.539000  1000  28.060237  0  0  0  0  120.000000
201062  0.0  1.539000  1000  28.245036  0  0  0  0  120.000000
201063  0.0  1.539000  1000  28.426893  0  0  0  0  120.000000
201064  0.0  1.539000  1000  28.617649  0  0  0  0  120.000000
201065  0.0  1.539000  1000  28.802599  0  0  0  0  120.000000
201066  0.0  1.539000  1000  28.993549  0  0  0  0  120.000000
201067  0.0  1.417000  1000  29.244642  0  0  0  0  120.000000
201068  0.0  1.417000  1000  29.435135  0  0  0  0  120.000000
201069  0.0  1.417000  1000  29.641480  0  0  0  0  120.000000
201070  0.0  1.417000  1000  29.841061  0  0  0  0  120.000000
201071  0.0  1.417000  1000  30.040768  0  0  0  0  120.000000
201072  0.0  1.417000  1000  30.243559  0  0  0  0  120.000000
201073  0.0  1.417000  1000  30.444670  0  0  0  0  120.000000
201074  0.0  1.417000  1000  30.648952  0  0  0  0  120.000000
201075  0.0  1.417000  1000  30.853068  0  0  0  0  120.000000
201076  0.0  1.417000  1000  31.050293  0  0  0  0  120.000000
201077  0.0  1.417000  1000  31.227130  0  0  0  0  120.000000
201078  0.0  1.307000  1000  31.401067  0  0  0  0  120.000000
201079  0.0  1.307000  1000  31.617684  0  0  0  0  120.000000
201080  0.0  1.307000  1000  31.829915  0  0  0  0  120.000000
201081  0.0  1.307000  1000  32.051360  0  0  0  0  120.000000
201082  0.0  1.307000  1000  32.273455  0  0  0  0  120.000000
201083  0.0  1.307000  1000  32.483400  0  0  0  0  120.000000
201084  0.0  1.307000  1000  32.704830  0  0  0  0  120.000000
201085  0.0  1.307000  1000  32.920619  0  0  0  0  120.000000
201086  0.0  1.307000  1000  33.139081  0  0  0  0  120.000000
201087  0.0  1.307000  1000  33.364182  0  0  0  0  120.000000
201088  0.0  1.307000  1000  33.585459  0  0  0  0  120.000000
  202200       0.0     2.3591  1000    19.493    0    0    0    0    0
202001  0.0  2.359000  1000  19.191608  0  0  0  0  150.000000
202002  0.0  2.359000  1000  19.307236  0  0  0  0  150.000000
202003  0.0  2.359000  1000  19.430547  0  0  0  0  150.000000
202004  0.0  2.359000  1000  19.553331  0  0  0  0  150.000000
202005  0.0  2.359000  1000  19.675327  0  0  0  0  150.000000
202006  0.0  2.359000  1000  19.794378  0  0  0  0  150.000000
202007  0.0  2.359000  1000  19.911567  0  0  0  0  150.000000
202008  0.0  2.359000  1000  20.031753  0  0  0  0  150.000000
202009  0.0  2.359000  1000  20.148044  0  0  0  0  150.000000
202010  0.0  2.359000  1000  20.270905  0  0  0  0  150.000000
202011  0.0  2.359000  1000  20.396455  0  0  0  0  150.000000
202012  0.0  2.162000  1000  20.550422  0  0  0  0  150.000000
202013  0.0  2.162000  1000  20.680912  0  0  0  0  150.000000
202014  0.0  2.162000  1000  20.814072  0  0  0  0  150.000000
202015  0.0  2.162000  1000  20.946114  0  0  0  0  150.000000
202016  0.0  2.162000  1000  21.080056  0  0  0  0  150.000000
202017  0.0  2.162000  1000  21.210611  0  0  0  0  150.000000
202018  0.0  2.162000  1000  21.343416  0  0  0  0  150.000000
202019  0.0  2.162000  1000  21.478158  0  0  0  0  150.000000
202020  0.0  2.162000  1000  21.602309  0  0  0  0  150.000000
202021  0.0  2.162000  1000  21.745694  0  0  0  0  150.000000
202022  0.0  2.162000  1000  21.876995  0  0  0  0  150.000000
202023  0.0  1.983000  1000  22.037242  0  0  0  0  150.000000
202024  0.0  1.983000  1000  22.176280  0  0  0  0  150.000000
202025  0.0  1.983000  1000  22.317300  0  0  0  0  150.000000
202026  0.0  1.983000  1000  22.464588  0  0  0  0  150.000000
202027  0.0  1.983000  1000  22.605061  0  0  0  0  150.000000
202028  0.0  1.983000  1000  22.750519  0  0  0  0  150.000000
202029  0.0  1.983000  1000  22.899170  0  0  0  0  150.000000
202030  0.0  1.983000  1000  23.042198  0  0  0  0  150.000000
202031  0.0  1.983000  1000  23.196547  0  0  0  0  150.000000
202032  0.0  1.983000  1000  23.329229  0  0  0  0  150.000000
202033  0.0  1.983000  1000  23.474881  0  0  0  0  150.000000
202034  0.0  1.820000  1000  23.637485  0  0  0  0  150.000000
202035  0.0  1.820000  1000  23.789794  0  0  0  0  150.000000
202036  0.0  1.820000  1000  23.959634  0  0  0  0  150.000000
202037  0.0  1.820000  1000  24.107955  0  0  0  0  150.000000
202038  0.0  1.820000  1000  24.254709  0  0  0  0  150.000000
202039  0.0  1.820000  1000  24.414303  0  0  0  0  150.000000
202040  0.0  1.820000  1000  24.571166  0  0  0  0  150.000000
202041  0.0  1.820000  1000  24.729147  0  0  0  0  150.000000
202042  0.0  1.820000  1000  24.891622  0  0  0  0  150.000000
202043  0.0  1.820000  1000  25.043712  0  0  0  0  150.000000
202044  0.0  1.820000  1000  25.185564  0  0  0  0  150.000000
202045  0.0  1.673000  1000  25.341473  0  0  0  0  150.000000
202046  0.0  1.673000  1000  25.510026  0  0  0  0  150.000000
202047  0.0  1.673000  1000  25.679975  0  0  0  0  150.000000
202048  0.0  1.673000  1000  25.852146  0  0  0  0  150.000000
202049  0.0  1.673000  1000  26.027502  0  0  0  0  150.000000
202050  0.0  1.673000  1000  26.194406  0  0  0  0  150.000000
202051  0.0  1.673000  1000  26.362661  0  0  0  0  150.000000
202052  0.0  1.673000  1000  26.535759  0  0  0  0  150.000000
202053  0.0  1.673000  1000  26.702515  0  0  0  0  150.000000
202054  0.0  1.673000  1000  26.873176  0  0  0  0  150.000000
202055  0.0  1.673000  1000  27.041722  0  0  0  0  150.000000
202056  0.0  1.539000  1000  27.260304  0  0  0  0  150.000000
202057  0.0  1.539000  1000  27.433372  0  0  0  0  150.000000
202058  0.0  1.539000  1000  27.626637  0  0  0  0  150.000000
202059  0.0  1.539000  1000  27.805791  0  0  0  0  150.000000
202060  0.0  1.539000  1000  27.995926  0  0  0  0  150.000000
202061  0.0  1.539000  1000  28.180214  0  0  0  0  150.000000
202062  0.0  1.539000  1000  28.367921  0  0  0  0  150.000000
202063  0.0  1.539000  1000  28.540080  0  0  0  0  150.000000
202064  0.0  1.539000  1000  28.734758  0  0  0  0  150.000000
202065  0.0  1.539000  1000  28.922420  0  0  0  0  150.000000
202066  0.0  1.539000  1000  29.102725  0  0  0  0  150.000000
202067  0.0  1.417000  1000  29.306447  0  0  0  0  150.000000
202068  0.0  1.417000  1000  29.504353  0  0  0  0  150.000000
202069  0.0  1.417000  1000  29.703127  0  0  0  0  150.000000
202070  0.0  1.417000  1000  29.910217  0  0  0  0  150.000000
202071  0.0  1.417000  1000  30.106518  0  0  0  0  150.000000
202072  0.0  1.417000  1000  30.317511  0  0  0  0  150.000000
202073  0.0  1.417000  1000  30.517018  0  0  0  0  150.000000
202074  0.0  1.417000  1000  30.707468  0  0  0  0  150.000000
202075  0.0  1.417000  1000  30.914040  0  0  0  0  150.000000
202076  0.0  1.417000  1000  31.113046  0  0  0  0  150.000000
202077  0.0  1.417000  1000  31.287482  0  0  0  0  150.000000
202078  0.0  1.307000  1000  31.456289  0  0  0  0  150.000000
202079  0.0  1.307000  1000  31.681845  0  0  0  0  150.000000
202080  0.0  1.307000  1000  31.888459  0  0  0  0  150.000000
202081  0.0  1.307000  1000  32.105340  0  0  0  0  150.000000
202082  0.0  1.307000  1000  32.329470  0  0  0  0  150.000000
202083  0.0  1.307000  1000  32.546280  0  0  0  0  150.000000
202084  0.0  1.307000  1000  32.756727  0  0  0  0  150.000000
