Number of detectors, Number of user table parameters/detector                   
6284 6
Det# 	Delta	L2	Code 2theta  dcode eff_fac effc  res      dtime   phi            
502071  -1.00   1.3832  900   89.341  2.0  1.25000  1.0  0.00550  3.00   29.700
502072  -1.00   1.3755  900   89.147  2.0  1.25000  1.0  0.00550  3.00   29.700
502073  -1.00   1.3832  900   88.929  2.0  1.25000  1.0  0.00550  3.00   29.700
502074  -1.00   1.3755  900   88.729  2.0  1.25000  1.0  0.00550  3.00   29.700
502075  -1.00   1.3832  900   88.508  2.0  1.25000  1.0  0.00550  3.00   29.700
502076  -1.00   1.3755  900   88.313  2.0  1.25000  1.0  0.00550  3.00   29.700
502077  -1.00   1.3832  900   88.090  2.0  1.25000  1.0  0.00550  3.00   29.700
502078  -1.00   1.3755  900   87.905  2.0  1.25000  1.0  0.00550  3.00   29.700
502079  -1.00   1.3832  900   87.674  2.0  1.25000  1.0  0.00550  3.00   29.700
502080  -1.00   1.3755  900   87.480  2.0  1.25000  1.0  0.00550  3.00   29.700
502081  -1.00   1.3832  900   87.257  2.0  1.25000  1.0  0.00550  3.00   29.700
502082  -1.00   1.3755  900   87.424  2.0  1.25000  1.0  0.00550  3.00   29.700
502083  -1.00   1.3832  900   86.835  2.0  1.25000  1.0  0.00550  3.00   29.700
502084  -1.00   1.3755  900   86.645  2.0  1.25000  1.0  0.00550  3.00   29.700
502085  -1.00   1.3832  900   86.425  2.0  1.25000  1.0  0.00550  3.00   29.700
502086  -1.00   1.3755  900   86.234  2.0  1.25000  1.0  0.00550  3.00   29.700
502087  -1.00   1.3832  900   86.010  2.0  1.25000  1.0  0.00550  3.00   29.700
502088  -1.00   1.3755  900   85.819  2.0  1.25000  1.0  0.00550  3.00   29.700
502089  -1.00   1.3832  900   85.593  2.0  1.25000  1.0  0.00550  3.00   29.700
502090  -1.00   1.3755  900   85.403  2.0  1.25000  1.0  0.00550  3.00   29.700
502091  -1.00   1.3832  900   85.184  2.0  1.25000  1.0  0.00550  3.00   29.700
502092  -1.00   1.3755  900   84.995  2.0  1.25000  1.0  0.00550  3.00   29.700
502093  -1.00   1.3832  900   84.766  2.0  1.25000  1.0  0.00550  3.00   29.700
502094  -1.00   1.3755  900   84.566  2.0  1.25000  1.0  0.00550  3.00   29.700
502095  -1.00   1.3832  900   84.351  2.0  1.25000  1.0  0.00550  3.00   29.700
502096  -1.00   1.3755  900   84.815  2.0  1.25000  1.0  0.00550  3.00   29.700
502097  -1.00   1.3832  900   83.937  2.0  1.25000  1.0  0.00550  3.00   29.700
502098  -1.00   1.3755  900   83.736  2.0  1.25000  1.0  0.00550  3.00   29.700
502099  -1.00   1.3832  900   83.519  2.0  1.25000  1.0  0.00550  3.00   29.700
502100  -1.00   1.3755  900   83.329  2.0  1.25000  1.0  0.00550  3.00   29.700
502101  -1.00   1.3832  900   83.102  2.0  1.25000  1.0  0.00550  3.00   29.700
502102  -1.00   1.3755  900   82.905  2.0  1.25000  1.0  0.00550  3.00   29.700
502103  -1.00   1.3832  900   82.686  2.0  1.25000  1.0  0.00550  3.00   29.700
502104  -1.00   1.3755  900   82.493  2.0  1.25000  1.0  0.00550  3.00   29.700
502105  -1.00   1.3832  900   82.275  2.0  1.25000  1.0  0.00550  3.00   29.700
502106  -1.00   1.3755  900   82.071  2.0  1.25000  1.0  0.00550  3.00   29.700
502107  -1.00   1.3832  900   81.853  2.0  1.25000  1.0  0.00550  3.00   29.700
502108  -1.00   1.3755  900   81.668  2.0  1.25000  1.0  0.00550  3.00   29.700
502109  -1.00   1.3832  900   81.447  2.0  1.25000  1.0  0.00550  3.00   29.700
502110  -1.00   1.3755  900   81.244  2.0  1.25000  1.0  0.00550  3.00   29.700
502111  -1.00   1.3832  900   81.031  2.0  1.25000  1.0  0.00550  3.00   29.700
502112  -1.00   1.3755  900   83.009  2.0  1.25000  1.0  0.00550  3.00   29.700
502113  -1.00   1.3832  900   80.616  2.0  1.25000  1.0  0.00550  3.00   29.700
502114  -1.00   1.3755  900   81.117  2.0  1.25000  1.0  0.00550  3.00   29.700
502115  -1.00   1.3832  900   80.201  2.0  1.25000  1.0  0.00550  3.00   29.700
502116  -1.00   1.3755  900   80.003  2.0  1.25000  1.0  0.00550  3.00   29.700
