4.84229994  15.6421003  21.6700993  20.3206997  11.4816999  0.0  112.694000  7.35510015  0.889199972  0.183699995  2.260000072E-02  
#S  75  Re
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
5.00150013  16.3873997  21.3262997  20.5247002  11.7163000  0.0  106.000999  6.75920010  0.849099994  0.181700006  2.239999920E-02  
#S  76  Os
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
5.36299992  17.5065994  23.3197002  20.9424992  8.81579971  0.0  93.6155014  6.05690002  0.715600014  0.137300000  1.269999985E-02  
#S  77  Ir
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
5.09530020  15.4321003  15.5923996  26.5617008  14.2784004  0.0  98.2593994  6.94630003  1.25500000  0.259999990  2.419999987E-02  
#S  78  Pt
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
5.64510012  18.8015003  20.6881008  20.5265999  12.2868004  0.0  69.2677002  5.31269979  0.710699975  0.170200005  2.160000056E-02  
#S  79  Au
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
5.81699991  19.5634995  20.3715992  20.6837006  12.5114002  0.0  65.4078979  4.94689989  0.680899978  0.167999998  0.214000002  
#S  80  Hg
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
5.93889999  19.4946003  19.0547009  22.4442005  13.0068998  0.0  74.0106964  4.91179991  0.737500012  0.177900001  2.160000056E-02  
#S  81  Tl
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
6.58029985  19.6009998  18.3955002  23.0433006  13.3134003  0.0  69.9997025  4.60319996  0.731199980  0.178700000  2.160000056E-02  
#S  82  Pb
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
7.37540007  19.7973995  18.0002003  23.2605000  13.4942999  0.0  62.4634018  4.25610018  0.702099979  0.175699994  2.129999921E-02  
#S  83  Bi
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
8.23239994  20.0182991  17.6602993  23.3246002  13.6777000  0.0  53.0479012  3.92490005  0.667500019  0.172199994  2.099999972E-02  
#S  84  Po
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
9.06620026  20.1394997  23.6273003  17.1872005  13.8913002  0.0  48.3272018  3.66240001  0.170100003  0.647099972  2.080000006E-02  
#S  85  At
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
9.92230034  20.2544003  23.9015007  16.7271004  14.1028004  0.0  43.7514000  3.42289996  0.167999998  0.627099991  2.060000040E-02  
#S  86  Rn
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
10.7789001  20.3925991  16.3719997  24.0636997  14.2879000  0.0  38.6120987  3.20499992  0.603699982  0.165000007  2.030000091E-02  
#S  87  Fr
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
2.53320003  11.5319004  24.7458992  31.9246998  16.2474995  0.0  269.877991  21.9610004  2.07159996  0.224299997  2.229999937E-02  
#S  88  Ra
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
3.22490001  11.6694002  24.8687000  31.8957005  16.3306007  0.0  321.662994  20.3845997  1.97300005  0.216600001  2.190000005E-02  
#S  89  Ac
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
3.62069988  12.1268997  24.9363003  31.8798008  16.4227009  0.0  270.773987  18.9025002  1.88110006  0.209500000  2.150000073E-02  
#S  90  Th
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
4.01809978  12.6119003  24.9620991  31.8645992  16.5249004  0.0  232.371002  17.3824997  1.79499996  0.202999994  2.109999955E-02  
#S  91  Pa
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
3.79259992  12.6625996  25.8794994  31.9403000  16.7045002  0.0  236.802994  17.5907993  1.76069999  0.198400006  2.089999989E-02  
#S  92  U 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
3.90510011  12.8415003  26.4298000  31.9514008  16.8474998  0.0  221.177994  16.8736992  1.70079994  0.193200007  2.050000057E-02  
